champion,lane_opponent,role,n_games,n_wins,winrate,lane_minions_first_10_minutes,max_cs_advantage_on_lane_opponent,max_level_lead_lane_opponent,turret_plates_taken,solo_kills,deaths,overall_n_games,overall_n_wins,overall_avg_lane_minions_first_10_minutes,overall_avg_max_cs_advantage_on_lane_opponent,overall_avg_max_level_lead_lane_opponent,overall_avg_turret_plates_taken,overall_avg_solo_kills,overall_avg_deaths,overall_winrate,normalized_lane_minions_first_10_minutes,normalized_max_cs_advantage_on_lane_opponent,normalized_max_level_lead_lane_opponent,normalized_turret_plates_taken,normalized_solo_kills,normalized_deaths
Aatrox,Camille,TOP,337,197,0.5845697329376854,66.57863501483679,33.77151335311573,1.9020771513353116,2.222551928783383,2.3531157270029674,5.433234421364985,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.5086426926189537,0.3569927415762762,0.5187483140005396,0.4762611275964391,0.30692813830473487,0.4280805872247384
Aatrox,Cassiopeia,TOP,22,11,0.5,66.5,22.863636363636363,2.0,2.6818181818181817,2.590909090909091,5.636363636363637,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.506993006993007,0.2416874879876994,0.5454545454545455,0.5746753246753246,0.33794466403162055,0.40669856459330145
Aatrox,Chogath,TOP,62,36,0.5806451612903226,71.90322580645162,48.16129032258065,2.2903225806451615,2.4516129032258065,2.596774193548387,5.387096774193548,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.6203473945409429,0.5091045488644889,0.6246334310850441,0.5253456221198156,0.3387096774193548,0.4329371816638371
Aatrox,Corki,TOP,10,6,0.6,67.6,30.4,1.8,2.3,2.4,4.7,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.53006993006993,0.321353065539112,0.49090909090909096,0.49285714285714277,0.31304347826086953,0.5052631578947369
Aatrox,Darius,TOP,285,173,0.6070175438596491,64.29122807017544,26.680701754385964,1.9508771929824562,2.2491228070175437,2.382456140350877,5.08421052631579,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.4606551343393447,0.28203701643114126,0.5320574162679427,0.4819548872180451,0.31075514874141874,0.464819944598338
Aatrox,Diana,TOP,4,2,0.5,64.25,26.25,1.75,3.0,1.5,5.25,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.4597902097902097,0.2774841437632135,0.47727272727272735,0.6428571428571428,0.19565217391304346,0.44736842105263164
Aatrox,DrMundo,TOP,62,42,0.6774193548387096,78.0,45.403225806451616,2.2580645161290325,2.5806451612903225,2.693548387096774,3.3225806451612905,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.7482517482517482,0.47994953283775493,0.6158357771260998,0.5529953917050691,0.3513323983169705,0.6502546689303905
Aatrox,Draven,TOP,7,4,0.5714285714285714,58.285714285714285,7.857142857142857,1.1428571428571428,2.0,1.5714285714285714,4.428571428571429,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.33466533466533466,0.08305647840531562,0.31168831168831174,0.42857142857142855,0.20496894409937888,0.5338345864661654
Aatrox,Ekko,TOP,4,3,0.75,69.75,31.75,2.0,2.25,3.0,4.75,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.5751748251748251,0.3356236786469345,0.5454545454545455,0.4821428571428571,0.3913043478260869,0.5
Aatrox,Ezreal,TOP,15,13,0.8666666666666667,70.13333333333334,33.266666666666666,1.7333333333333334,2.6,1.8666666666666667,3.933333333333333,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.5832167832167833,0.35165609584214236,0.47272727272727283,0.5571428571428572,0.24347826086956523,0.5859649122807018
